frm,height,pxW,cmW,gsdE,gsdT,predE(cm),predT(cm),errorE2,errorT2
431,85.93,60.82,174,2.799,2.87,170.23517999999999,174.5534,14.173869632400109,0.3062515600000117
433,85.93,66.76,174,2.799,2.87,186.86124,191.60120000000003,165.41149433760023,309.8022414400012
435,85.91,61.945,174,2.799,2.869,173.384055,177.72020500000002,0.37938824302501306,13.839925242025158
438,85.91,60.06,174,2.799,2.869,168.10794,172.31214000000003,34.71637104359984,2.848871379599906
442,85.88,66.35,174,2.798,2.868,185.64729999999997,190.29179999999997,135.65959728999937,265.4227472399989
445,85.88,62.06,174,2.798,2.868,173.64388,177.98808,0.126821454400003,15.904782086399972
447,85.87,64.625,174,2.797,2.868,180.756125,185.34449999999998,45.645225015624966,128.6976802499996
448,85.87,63.334999999999994,174,2.797,2.868,177.14799499999998,181.64477999999997,9.909872520024877,58.442661248399524
449,85.87,75.23,174,2.797,2.868,210.41831000000002,215.75964,1326.2933032561014,1743.8675329295993
451,85.87,66.58,174,2.797,2.868,186.22426000000002,190.95144,149.43253254760037,287.3513180735997
453,85.85,66.805,174,2.797,2.867,186.85358500000004,191.52993500000002,165.21464735222597,307.2986211042258
454,85.85,63.43000000000001,174,2.797,2.867,177.41371000000004,181.85381,11.653415964100255,61.682331516100156
455,85.85,60.11,174,2.797,2.867,168.12767,172.33537,34.48425962890006,2.770993036899961
458,85.85,64.805,174,2.797,2.867,181.25958500000002,185.79593500000001,52.701574372225224,139.14408252422533
459,85.83,61.34,174,2.796,2.867,171.50664,175.86178,6.216844089599978,3.466224768400038
460,85.83,60.89,174,2.796,2.867,170.24844,174.57163,14.07420243360009,0.32676085689999884
462,85.83,65.56,174,2.796,2.867,183.30576,187.96052,86.59716917759985,194.89611867040006
464,85.83,64.67,174,2.796,2.867,180.81732,185.40889,46.47585198239993,130.16277103210032
465,85.8,68.08500000000001,174,2.795,2.866,190.29757500000002,195.13161000000002,265.61095088062575,446.54494119210096
466,85.8,63.68,174,2.795,2.866,177.9856,182.50688,15.88500736000004,72.36700733439991
467,85.8,63.22,174,2.795,2.866,176.69989999999999,181.18852,7.289460009999921,51.67481979040016
469,85.8,68.72,174,2.795,2.866,192.0724,196.95152000000002,326.61164175999954,526.7722703104007
470,85.8,60.79,174,2.795,2.866,169.90805,174.22414,16.744054802499978,0.05023873960000249
471,85.78,63.75,174,2.795,2.865,178.18125,182.64375,17.48285156250005,74.7144140625002
473,85.78,63.81,174,2.795,2.865,178.34895,182.81565000000003,18.913366102500017,77.71568492250059
474,85.78,70.28999999999999,174,2.795,2.865,196.46054999999998,201.38084999999998,504.47630630249927,749.710946722499
475,85.78,62.83,174,2.795,2.865,175.60985,180.00795000000002,2.591617022499982,36.09546320250027
476,85.78,61.9,174,2.795,2.865,173.01049999999998,177.3435,0.9791102500000414,11.17899225000004
477,85.76,66.33500000000001,174,2.794,2.864,185.33999000000003,189.98344,128.59537320010065,255.47035423360006
478,85.76,60.85,174,2.794,2.864,170.0149,174.27439999999999,15.881022009999908,0.07529535999999219
